Country,Coronavirus Information,Quarantine Information,Travel Sentiment Score
afghanistan,"
 Entry to Afghanistan 
 There are no specific restrictions on entry to Afghanistan. However, due to the security situation the  FCDO  advise against all travel to most of the country and against all but essential travel to the Enhanced Security Area in Kabul, Hamid Karzai International Airport, Panjshir province and Bamian City in Bamian province. 
 Testing on arrival 
 Everyone arriving in Afghanistan will be required to have their temperature checked at the airport. If your temperature is high, the government will advise you to quarantine and will offer you medical attention at two hospitals in Kabul. 
","
 There are currently no compulsory quarantine requirements. However, if you have a high temperature the government will advise you to quarantine. 
 Data collection 
 There are no requirements to provide details beyond those in your passport and visa. 
 Testing on departure 
 On leaving Afghanistan, passengers are required to have their temperature checked. If a passenger has a high temperature the government will advise the airline to consider applying specific safety measures for that individual. Additionally, Emirates and Fly Dubai require passengers to present a COVID-19 negative certificate in order to travel. 
",0.2999677062034607
albania,"
 Land borders are open with the exception of the border with Montenegro which remains closed until a further notice from the Montenegrin authorities. 
 If you are a British national with a Greek residence and are travelling to Greece from Albania you must complete an online Passenger Locator Form (PLF) at least 48 hours before your arrival in Greece. The  form is online , in English. You may also have to comply with other requirements from the Greek authorities, including testing and self-isolation. 
 Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans. If you need further information about entry requirements, contact the local immigration authorities or the nearest Albanian Embassy/Consulate. You should also check with your airline or travel company for the latest information. 
 Visas 
 British citizens can enter and remain in Albania for a maximum of 90 days in every 6-month period without a visa. The Albanian authorities require anyone staying longer than 90 days to apply at a local police station for a residence permit.   
 Passport validity  
 Your passport should be valid for a minimum period of 3 months from the date of entry into Albania.   
 Yellow fever certificate requirements 
 Check whether you need a yellow fever certificate by visiting the National Travel Health Network and Centre’s  TravelHealthPro website . 
 UK Emergency Travel Documents 
 UK Emergency Travel Documents are accepted for entry, airside transit and exit from Albania.",MISSING DATA,0.4394892454147339
algeria,"
 Entry to Algeria 
 On 28 June the Algerian President ordered that air, land and sea borders remain closed until further notice. 
 Entry is limited to nationals returning on repatriation flights from abroad, and foreign nationals with diplomatic/residency visas. 
 If you’re eligible for entry, you will need to self-isolate for 14 days after arrival. 
 Testing/screening on arrival 
 Temperature checks are undertaken on arrival. 
","
 Current quarantine requirements are a compulsory 14-day stay at a state facility, or own accommodation (if diplomatic), or company accommodation (if authorised by the Prime Minister). 
 Data collection 
 Contact details are taken on arrival in country, including address. 
 Testing on departure 
 Temperature checks are taken before entering the airport. 
",0.3145521283149719
angola,"
 Entry to Angola 
 Angola’s borders remain closed. Entry to Angola is prohibited except for Angolan nationals and foreign nationals resident in Angola. Exceptions are made for medical evacuations, for a small number of humanitarian flights and for the entry and exit of essential workers. 
 Testing prior to arrival 
 All air passengers arriving in Angola are required to have taken a coronavirus PCR test in the 72 hours prior to their arrival in Angola.  You should carry proof of your negative test result with you. 
 You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
","
 All air passengers arriving in Angola will need to undertake compulsory quarantine for at least 7 days. Returning residents can quarantine in their own homes.  Non-resident essential workers have to quarantine in a government or government-approved facility. The Angolan authorities will release you from quarantine once you have tested negative for coronavirus. You must spend at least 7 days in quarantine before being tested. 
",0.35129034519195557
anguilla,"
 Entry to Anguilla 
 Under current regulations, in force until at least Saturday 31 October, entry to Anguilla is restricted and must be pre-approved. 
 If you wish to travel to Anguilla you will need prior approval from the Government’s Health Team.  You can apply for approval by completing the the online form on the Government’s  COVID-19 website . As part of the approval process you must provide evidence of a negative COVID-19 test taken 3 – 5 days before the planned date of your arrival. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 You will be subject to testing on arrival and 10 -14 days quarantine in either a Government run quarantine facility or a Government approved self-quarantine facility. 
 The regular ferry service from Marigot Port (French St. Martin) to Blowing Point Ferry Port has been suspended until further notice. 
 Princess Juliana International Airport on the neighbouring island of Dutch St. Maarten has restricted the entry of incoming visitors from the US, Canada and Europe with effect from Tuesday 17 March. 
 Testing / screening on arrival 
 All persons entering Anguilla are subject to testing on arrival. 
","
 All persons entering Anguilla will have to undertake 10 - 14 days quarantine in either a government run quarantine facility or a government approved self-quarantine facility. 
",0.33207467198371887
antigua-and-barbuda,"
 Testing / screening on arrival 
 All passengers 12 years and older arriving by air in Antigua and Barbuda, including those transiting the country, must provide evidence of a negative COVID-19 RT-PCR test taken no more than seven days before arrival. Further health screening is in place at VC Bird International Airport and the private jet terminal for all international arrivals. The measures are subject to change but may include mandatory temperature and travel history checks, completion of a Health Declaration Form and further testing for Coronavirus. You should expect long waiting times on arrival. 
 You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. 
 Passengers arriving by sea are not required to provide evidence of a negative COVID-19 RT-PCR test but must enter via Nevis Street Pier in St John’s and follow the screening and quarantine instructions of Port Health. 
 Visitors instructed by the local authorities to take a Coronavirus test on arrival may be asked to pay a fee of US$ 100 or local equivalent in cash. 
","
 The local authorities may instruct you to enter government-provided quarantine, for which a further fee of XCD 100 per night may be charged, depending on the results of their screening and testing procedures. Those with pre-booked hotel accommodation will normally be permitted to travel to their accommodation after screening. Those staying with family, friends, private accommodation or in their own place of residence will be subject to an interview to determine their suitability to leave for their private accommodation arrangements and may be required to self-quarantine for a period up to 14 days, at the discretion of the Health Authorities. Those not deemed to have suitable private accommodation arrangements will be obliged to remain in government quarantine at their expense for between seven and 14 days. 
 Entry to Antigua and Barbuda 
 All aircraft must arrive at VC Bird International Airport or the private jet terminal. 
 All maritime vessels must enter Antigua and Barbuda via the Nevis Street Pier. 
",0.5732312798500061
argentina,"
 Borders and travel 
 Argentina’s borders are closed to foreign nationals and non-residents entering the country. The borders remain open for departures. While the Argentine government is permitting a limited number of exceptional international flights, all scheduled international flights have been suspended until further notice. 
 For information on how to return to the UK from Argentina, see  Return to the UK 
",MISSING DATA,0.4224141836166382
armenia,"
 The ban on entry to foreign nationals was lifted on 12 August. Arrivals are subject to self-isolation and/or testing requirements (see following section). Face-masks must be worn in all public spaces. 
 Testing / screening on arrival 
 Visitors are required to self-isolate for 14 days on arrival, but are permitted to be released earlier if they obtain a certificate for a negative test result for COVID-19 after arrival in Armenia. 
 More information on the process for taking a PCR test, and a list of COVID-19 testing laboratories in Armenia, is available on the  Zvartnots International Airport website . 
 Entry borders to Armenia 
 The Meghri border crossing with Iran has been closed since 24 February. 
 The land border between Armenia and Georgia has been closed since 14 March, other than for the movement of goods. 
",MISSING DATA,0.4169939160346985
aruba,"
 Entry to Aruba 
 Aruba reopened its borders to travellers from Europe on 1 July 2020.  The following requirements are mandatory for travel: 
 
 Completing and obtaining approval to travel to Aruba through the  Embarkation/Disembarkation card  online before arrival; 
 Providing a negative COVID-19 test result within 72 hours of departure for Aruba; 
 Purchasing Aruba’s COVID-19 insurance for the duration of your trip; 
 Agreeing to health screening and temperature checks on arrival; 
 Wearing a mask during the flight and at the airport. 
 Further information on these entry requirements can be found  here . 
 You can also choose to take a COVID-19 test on arrival in Aruba, but a mandatory quarantine period of 24 hours is required for all visitors who choose to be tested on arrival. 
 Testing/Screening on arrival 
 A negative COVID-19 test result must be provided.  The test must have been carried out within 72 hours of arrival in Aruba or on arrival in Aruba (which requires a mandatory 24 hour quarantine).  A health screening and temperature check will be carried out on arrival.  These are conditions of entry. 
","
 Those who test positive for COVID-19 during their stay will be required to self-isolate.  Please see  this website  for further information. 
 Data collection 
 Completing and obtaining approval to travel to Aruba through the  Embarkation/Disembarkation card  online before arrival is a requirement for entry to Aruba. 
",0.558384895324707
australia,"
 Entry to Australia 
 Only Australian citizens and returning permanent residents and their immediate family members are permitted to enter Australia without an exemption until further notice. 
 
 Travellers who meet exemption criteria or have a compassionate or compelling reason to enter Australia can  apply to the Australian authorities for an exemption . 
 For information on the exemption categories, application form and documentation required, see the  Department of Home Affairs website 
 The Department of Home Affairs is experiencing high levels of demand for exemptions and there is no guarantee of either the timing of a decision or the outcome. You should make your application at least four weeks but not more than three months in advance of travel and provide full supporting documentation. 
","
 All international travellers entering Australia need to undertake a mandatory 14-day quarantine at a designated facility (for example a hotel) at their port of arrival. This is arranged by individual State and Territory governments. 
 States and Territories are introducing charges for quarantine. These are already in place in New South Wales, the Northern Territory, Queensland and South Australia and are likely to be introduced in other States soon. For further details on quarantine including fees, see these websites: 
 
 
 New South Wales . If you made your flight booking before 11:59pm AEST on 12 July, you will not have to pay. 
 
 The Northern Territory  for further details including fees. 
 
 Queensland . If you made your flight booking before midnight on 17 June 2020, you will not have to pay. 
 
 Western Australia .
You may face a range of penalties for non-compliance with quarantine measures. 
",0.2830042541027069
